time,message,logger,level
2025-05-05 13:32:29.7685,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:29.8088,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:30.1079,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.1645,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.1654,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.2979,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:30.3718,Doorstate DOOR_CLOSED for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:30.6662,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.6662,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.6662,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:30.6832,Received on agvs/2/will: Online,MQTT,Info
2025-05-05 13:32:30.6837,Received data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:30.6837,No attachments for data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:30.6837,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:30.7910,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:30.9822,Doorstate DOOR_CLOSED for door 161 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:31.1685,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.1685,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.1685,Assignment IdleExecutionStrategy for AGV 68122dfbd16b9d557b7ff222 is finished,Execution,Info
2025-05-05 13:32:31.1693,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.2904,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:31.6697,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.6716,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.6725,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:31.7878,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:31.7936,Doorstate DOOR_CLOSED for door 156 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
