time,message,logger,level
2025-05-05 15:55:17.0865,[REST] constructing AGV controller,Startup,Info
2025-05-05 15:55:17.1641,Received on agvs/2/drop/request: 0,MQTT,Info
2025-05-05 15:55:17.2577,Doorstate DOOR_CLOSED for door 160 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 15:55:17.2930,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 15:55:17.5020,[REST] constructing Order controller,Startup,Info
2025-05-05 15:55:17.5095,Received data agvs/2/drop/request - 0 from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 15:55:17.5095,No attachments for data agvs/2/drop/request - 0 from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 15:55:17.5095,agvs/2/drop/request - 0,Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 15:55:17.5104,Doorstate DOOR_OPEN for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 15:55:17.5104,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: drop/request value: 0,Wewo.Data.ApiHandler,Debug
2025-05-05 15:55:17.5104,"Received on agvs/2/order/status: {
  ""id"": 879,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 186,
    ""name"": ""IC627"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-05-05 15:55:17.5115,"Received data agvs/2/order/status - {
  ""id"": 879,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 186,
    ""name"": ""IC627"",
    ""position"": 0
  },
  ""status"": 30
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 15:55:17.5115,"No attachments for data agvs/2/order/status - {
  ""id"": 879,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 186,
    ""name"": ""IC627"",
    ""position"": 0
  },
  ""status"": 30
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
