time,message,logger,level
2025-04-29 13:43:55.4440,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:43:55.7603,[REST] constructing Door controller,Startup,Info
2025-04-29 13:43:56.2742,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:43:56.3886,Received on agvs/1/docking: 0,MQTT,Info
2025-04-29 13:43:56.6699,[REST] constructing Order controller,Startup,Info
2025-04-29 13:43:56.6699,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:43:56.7083,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:43:56.7608,[REST] constructing Door controller,Startup,Info
2025-04-29 13:43:56.8626,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:43:57.2027,"Received on agvs/1/status: {""Online"":true,""docking"":false,""manualDrive"":false,""brakeRelease"":false,""charging"":false,""warnings"":{},""errors"":{}}",MQTT,Info
2025-04-29 13:43:57.2711,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:43:57.7617,[REST] constructing Door controller,Startup,Info
2025-04-29 13:43:58.1349,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:43:58.2715,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:43:58.5441,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:43:58.6125,"Received on agvs/1/order/status: {
  ""id"": 795,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:43:58.7577,[REST] constructing Door controller,Startup,Info
2025-04-29 13:43:59.1148,"Received on agvs/2/order/status: {
  ""id"": 796,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:43:59.1386,Received on agvs/2/drop/request: 0,MQTT,Info
2025-04-29 13:43:59.2673,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:43:59.4701,[REST] constructing Order controller,Startup,Info
2025-04-29 13:43:59.4706,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:43:59.5093,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:43:59.7600,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:00.0008,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:00.2710,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:00.7574,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:01.1339,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:01.2688,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:01.7572,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:02.2823,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:02.2850,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:02.2855,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:02.3262,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:02.5906,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:02.7600,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:03.1499,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:44:03.2706,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:03.6217,"Received on agvs/1/order/status: {
  ""id"": 795,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:03.7612,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:04.1250,"Received on agvs/2/order/status: {
  ""id"": 796,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:04.1529,Received on agvs/2/drop/request: 0,MQTT,Info
2025-04-29 13:44:04.2341,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:04.2715,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:04.7617,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:05.0702,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:05.0712,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:05.1080,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:05.1118,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:05.2705,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:05.6907,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:05.7579,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:06.2713,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:06.7571,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:07.2720,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:07.3341,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:07.7584,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:07.8703,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:07.8714,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:07.9071,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:07.9113,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:08.1658,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:44:08.2739,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:08.6293,"Received on agvs/1/order/status: {
  ""id"": 795,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:08.7612,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:08.7925,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:09.1318,"Received on agvs/2/order/status: {
  ""id"": 796,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:09.1688,Received on agvs/2/drop/request: 0,MQTT,Info
2025-04-29 13:44:09.2698,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:09.7588,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:10.2690,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:10.4630,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:10.6682,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:10.6688,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:10.7066,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:10.7593,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:11.2682,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:11.7590,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:11.8926,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:12.2700,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:12.7596,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:13.1807,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:44:13.2706,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:13.4678,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:13.4678,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:13.5078,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:13.6349,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:13.6364,"Received on agvs/1/order/status: {
  ""id"": 795,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:13.7593,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:14.1391,"Received on agvs/2/order/status: {
  ""id"": 796,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:14.1831,Received on agvs/2/drop/request: 0,MQTT,Info
2025-04-29 13:44:14.2726,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:14.7579,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:14.9908,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:15.2693,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:15.7598,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:16.2834,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:16.2834,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:16.2865,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:16.2865,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:16.3266,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:16.7593,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:17.2675,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:17.5826,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:17.7606,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:18.1965,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:44:18.2709,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:18.6453,"Received on agvs/1/order/status: {
  ""id"": 795,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:18.7598,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:19.0705,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:19.0705,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:19.1075,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:19.1110,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:19.1462,"Received on agvs/2/order/status: {
  ""id"": 796,
  ""pickStation"": {
    ""id"": 1,
    ""name"": ""ITE01"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 144,
    ""name"": ""IC605"",
    ""position"": 0
  },
  ""status"": 30
}",MQTT,Info
2025-04-29 13:44:19.1996,Received on agvs/2/drop/request: 0,MQTT,Info
2025-04-29 13:44:19.2701,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:19.3821,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:19.7581,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:20.2698,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:20.7360,Received on agvs/1/will: Online,MQTT,Info
2025-04-29 13:44:20.7606,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:21.2726,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:21.7596,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:21.8679,[REST] constructing Order controller,Startup,Info
2025-04-29 13:44:21.8679,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:21.9046,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:21.9081,[REST] constructing AGV controller,Startup,Info
2025-04-29 13:44:22.2684,[REST] Constructing Alarm controller,Startup,Info
2025-04-29 13:44:22.4843,Received on agvs/2/will: Online,MQTT,Info
2025-04-29 13:44:22.7596,[REST] constructing Door controller,Startup,Info
2025-04-29 13:44:23.2105,Received on agvs/1/drop/request: 0,MQTT,Info
2025-04-29 13:44:23.2726,[REST] Constructing Alarm controller,Startup,Info
