time,message,logger,level
2025-04-22 15:40:44.2449,Mongo collection Orders is initialized with 1 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.5261,Mongo collection OrderArchive is initialized with 411 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.5602,Mongo collection Stations is initialized with 212 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.5952,Constructing StationDataHandler,Startup,Info
2025-04-22 15:40:44.5998,Mongo collection Groups is initialized with 0 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.6181,"Error in function GetMaxId of type T. Exception: Sequence contains no elements,    at System.Linq.ThrowHelper.ThrowNoElementsException()
   at System.Linq.Enumerable.Single[TSource](IEnumerable`1 source)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.Finalizers.SingleFinalizer`1.Finalize(IAsyncCursor`1 cursor, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.ExecutableQuery`3.Execute(IClientSessionHandle session, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](ExecutableQuery`2 executableQuery, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](ExecutableQuery`2 executableQuery)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](Expression expression)
   at System.Linq.Queryable.Max[TSource,TResult](IQueryable`1 source, Expression`1 selector)
   at MongoDatabase.MongoDatabaseHandler`1.GetMaxId() in /src/MongoDatabase/MongoDatabaseHandler.cs:line 296.",MongoDatabase.MongoDatabaseHandler`1,Error
2025-04-22 15:40:44.6376,Mongo collection AGVs is initialized with 2 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.6550,Constructing AGV datahandler,Startup,Info
2025-04-22 15:40:44.6718,Constructing TcpHandler,Startup,Info
2025-04-22 15:40:44.6734,Constructing NavithorTaskPool,Startup,Info
2025-04-22 15:40:44.6747,Constructing Navithor message sender,Startup,Info
2025-04-22 15:40:44.6759,Constructing FleetDataHandler,Startup,Info
2025-04-22 15:40:44.6772,Constructing FleetMessageInterpreter,Startup,Info
2025-04-22 15:40:44.6779,Constructing FleetApiHandler,Startup,Info
2025-04-22 15:40:44.6791,Constructing FleetManagerHandler,Startup,Info
2025-04-22 15:40:44.6804,Connecting to Navithor,Startup,Info
2025-04-22 15:40:44.6821,Attempting to connect to Navithor,Wewo.Data.DataHandlers.Navithor.FleetApiHandler,Info
2025-04-22 15:40:44.6929,Mongo collection Chargers is initialized with 9 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.7087,Mongo collection OrderSelectionRules is initialized with 0 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-04-22 15:40:44.7206,"Error in function GetMaxId of type T. Exception: Sequence contains no elements,    at System.Linq.ThrowHelper.ThrowNoElementsException()
   at System.Linq.Enumerable.Single[TSource](IEnumerable`1 source)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.Finalizers.SingleFinalizer`1.Finalize(IAsyncCursor`1 cursor, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.ExecutableQuery`3.Execute(IClientSessionHandle session, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](ExecutableQuery`2 executableQuery, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](ExecutableQuery`2 executableQuery)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](Expression expression)
   at System.Linq.Queryable.Max[TSource,TResult](IQueryable`1 source, Expression`1 selector)
   at MongoDatabase.MongoDatabaseHandler`1.GetMaxId() in /src/MongoDatabase/MongoDatabaseHandler.cs:line 296.",MongoDatabase.MongoDatabaseHandler`1,Error
