time,message,logger,level
2025-08-13 09:02:05.6138,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:05.6250,Received on handover/3/4/1/status: 0,MQTT,Info
2025-08-13 09:02:05.8523,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:05.8559,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:05.9017,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:06.0946,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:06.1551,Received on agvs/2/will: Online,MQTT,Info
2025-08-13 09:02:06.3645,Received on agvs/1/will: Online,MQTT,Info
2025-08-13 09:02:06.3812,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:06.3965,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:06.8743,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:06.8889,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:07.1127,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:07.8605,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:07.8605,"Received on agvs/1/clamp/target: 2.915,27.250,0.050,240,240,True",MQTT,Info
2025-08-13 09:02:07.9307,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:07.9941,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:08.0977,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:08.3232,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:08.5481,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:08.7828,Received on agvs/2/liftHeight: 502,MQTT,Info
2025-08-13 09:02:08.8079,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:08.9313,Received on agvs/2/liftHeight: 501,MQTT,Info
2025-08-13 09:02:09.2920,Received on agvs/2/will: Online,MQTT,Info
2025-08-13 09:02:09.3088,Received on agvs/2/liftHeight: 500,MQTT,Info
2025-08-13 09:02:09.3620,Received on agvs/1/will: Online,MQTT,Info
2025-08-13 09:02:09.3697,"Received on agvs/1/order/status: {
  ""id"": 194,
  ""pickStation"": {
    ""id"": 258,
    ""name"": ""Handover_3_1"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 202,
    ""name"": ""Regal1_22"",
    ""position"": 2
  },
  ""status"": 30
}",MQTT,Info
2025-08-13 09:02:09.4577,Received on agvs/2/liftHeight: 501,MQTT,Info
2025-08-13 09:02:09.5340,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:09.7410,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:09.8647,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:09.8772,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:10.0942,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.100,2120,500,False,30 to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:10.0942,"Received on agvs/2/target: 11.500,39.065,0.100,2120,500,False,30",MQTT,Info
2025-08-13 09:02:10.3679,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.100,2130,500,False,30 to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:10.3679,"Received on agvs/1/target: 2.915,27.250,0.100,2130,500,False,30",MQTT,Info
2025-08-13 09:02:10.4084,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:10.4808,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:10.5963,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:10.5963,"Received on agvs/2/clamp/target: 11.500,39.065,0.050,202,202,True",MQTT,Info
2025-08-13 09:02:10.7460,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:10.8728,"Received on agvs/2/order/status: {
  ""id"": 195,
  ""pickStation"": {
    ""id"": 262,
    ""name"": ""Handover_1_1"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 145,
    ""name"": ""Regal7_5"",
    ""position"": 2
  },
  ""status"": 30
}",MQTT,Info
2025-08-13 09:02:10.9290,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:10.9460,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:11.6438,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:11.8203,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:11.8684,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:11.9577,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:12.0160,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:12.1731,Received on agvs/2/will: Online,MQTT,Info
2025-08-13 09:02:12.2101,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:12.3444,Received on agvs/1/will: Online,MQTT,Info
2025-08-13 09:02:12.5419,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:12.5600,Received on handover/4/doorrequest: False,MQTT,Info
2025-08-13 09:02:12.5965,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:12.7361,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:13.1687,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:13.2246,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:13.3990,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:13.5853,Received on handover/4/doorrequest: True,MQTT,Info
2025-08-13 09:02:14.3298,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:14.3652,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:14.3652,"Received on agvs/1/clamp/target: 2.915,27.250,0.050,240,240,True",MQTT,Info
2025-08-13 09:02:14.3814,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:14.4157,"Received on agvs/1/order/status: {
  ""id"": 194,
  ""pickStation"": {
    ""id"": 258,
    ""name"": ""Handover_3_1"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 202,
    ""name"": ""Regal1_22"",
    ""position"": 2
  },
  ""status"": 30
}",MQTT,Info
2025-08-13 09:02:14.4643,Received on handover/4/4/1/status: 1,MQTT,Info
2025-08-13 09:02:14.4682,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:14.5968,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:14.8803,Received on handover/4/4/1/status: 0,MQTT,Info
2025-08-13 09:02:15.0973,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.100,2120,500,False,30 to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:15.0973,"Received on agvs/2/target: 11.500,39.065,0.100,2120,500,False,30",MQTT,Info
2025-08-13 09:02:15.1571,Received on agvs/2/will: Online,MQTT,Info
2025-08-13 09:02:15.2142,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:15.3511,Received on agvs/1/will: Online,MQTT,Info
2025-08-13 09:02:15.3682,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.100,2130,500,False,30 to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:15.3682,"Received on agvs/1/target: 2.915,27.250,0.100,2130,500,False,30",MQTT,Info
2025-08-13 09:02:15.4118,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:15.5928,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:15.8766,"Received on agvs/2/order/status: {
  ""id"": 195,
  ""pickStation"": {
    ""id"": 262,
    ""name"": ""Handover_1_1"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 145,
    ""name"": ""Regal7_5"",
    ""position"": 2
  },
  ""status"": 30
}",MQTT,Info
2025-08-13 09:02:16.1207,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:16.3160,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:16.3745,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:16.6025,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:16.6025,"Received on agvs/2/clamp/target: 11.500,39.065,0.050,202,202,True",MQTT,Info
2025-08-13 09:02:16.7363,Received on handover/4/4/1/status: 1,MQTT,Info
2025-08-13 09:02:16.8046,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:17.2937,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:17.3121,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:17.6861,Received on agvs/1/liftHeight: 502,MQTT,Info
2025-08-13 09:02:17.7283,Received on handover/4/4/1/status: 0,MQTT,Info
2025-08-13 09:02:17.8298,Received on agvs/1/liftHeight: 501,MQTT,Info
2025-08-13 09:02:18.0183,[REST] constructing Order controller,Startup,Info
2025-08-13 09:02:18.1431,Received on agvs/2/will: Online,MQTT,Info
2025-08-13 09:02:18.3639,Received on agvs/1/will: Online,MQTT,Info
2025-08-13 09:02:18.6181,"Last sent target: 11.500,39.065,0.100,2120,500,False,30 Sent target: 11.500,39.065,0.050,202,202,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:18.8729,"Last sent target: 2.915,27.250,0.100,2130,500,False,30 Sent target: 2.915,27.250,0.050,240,240,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-13 09:02:19.2298,[REST] constructing Order controller,Startup,Info
