time,message,logger,level
2025-08-13 10:13:10.3339,Mongo collection Orders is initialized with 3 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-08-13 10:13:10.6720,Mongo collection OrderArchive is initialized with 202 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-08-13 10:13:10.7058,Mongo collection Stations is initialized with 213 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-08-13 10:13:10.7378,Constructing StationDataHandler,Startup,Info
2025-08-13 10:13:10.7432,Mongo collection Groups is initialized with 0 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-08-13 10:13:10.7644,"Error in function GetMaxId of type T. Exception: Sequence contains no elements,    at System.Linq.ThrowHelper.ThrowNoElementsException()
   at System.Linq.Enumerable.Single[TSource](IEnumerable`1 source)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.Finalizers.SingleFinalizer`1.Finalize(IAsyncCursor`1 cursor, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.Translators.ExpressionToExecutableQueryTranslators.ExecutableQuery`3.Execute(IClientSessionHandle session, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](ExecutableQuery`2 executableQuery, CancellationToken cancellationToken)
   at MongoDB.Driver.Linq.Linq3Implementation.MongoQueryProvider`1.Execute[TResult](Expression expression)
   at System.Linq.Queryable.Max[TSource,TResult](IQueryable`1 source, Expression`1 selector)
   at MongoDatabase.MongoDatabaseHandler`1.GetMaxId() in /src/MongoDatabase/MongoDatabaseHandler.cs:line 296.",MongoDatabase.MongoDatabaseHandler`1,Error
2025-08-13 10:13:10.7849,Mongo collection AGVs is initialized with 2 items,MongoDatabase.MongoDatabaseHandler`1,Info
2025-08-13 10:13:10.8061,Constructing AGV datahandler,Startup,Info
2025-08-13 10:13:10.8229,Constructing data access,Startup,Info
2025-08-13 10:13:10.8334,Constructing Order Databasehandler,Startup,Info
2025-08-13 10:13:10.8418,Constructing ArchiveOrder Databasehandler,Startup,Info
2025-08-13 10:13:10.8482,Constructing Automation Databasehandler,Startup,Info
2025-08-13 10:13:10.8540,Constructing Charger Databasehandler,Startup,Info
2025-08-13 10:13:10.8587,Constructing Door Databasehandler,Startup,Info
2025-08-13 10:13:10.8636,Constructing ParkingLocation Databasehandler,Startup,Info
2025-08-13 10:13:10.8680,Constructing User Databasehandler,Startup,Info
2025-08-13 10:13:10.8720,Constructing ProductType Databasehandler,Startup,Info
2025-08-13 10:13:10.8760,Constructing IoBinding Databasehandler,Startup,Info
2025-08-13 10:13:10.8813,Constructing Line Databasehandler,Startup,Info
2025-08-13 10:13:10.8849,Constructing BaseAssignment Databasehandler,Startup,Info
2025-08-13 10:13:10.8899,Constructing BaseAssignment Databasehandler,Startup,Info
2025-08-13 10:13:10.8925,Constructing ArchiveError Databasehandler,Startup,Info
2025-08-13 10:13:10.9013,Constructing Heartbeat Databasehandler,Startup,Info
2025-08-13 10:13:10.9060,Constructing Error Databasehandler,Startup,Info
2025-08-13 10:13:10.9126,Constructing CustomPage Databasehandler,Startup,Info
2025-08-13 10:13:10.9441,Constructing TcpHandler,Startup,Info
2025-08-13 10:13:10.9441,Constructing NavithorTaskPool,Startup,Info
2025-08-13 10:13:10.9441,Constructing Navithor message sender,Startup,Info
2025-08-13 10:13:10.9964,"Error in function GetAllAsync of type T. Exception: Element 'PickStationId' does not match any field or property of class DataModels.DatabaseModels.Order.ArchiveOrderDbModel.,    at MongoDB.Bson.Serialization.BsonClassMapSerializer`1.DeserializeClass(BsonDeserializationContext context)
   at MongoDB.Bson.Serialization.BsonClassMapSerializer`1.Deserialize(BsonDeserializationContext context, BsonDeserializationArgs args)
   at MongoDB.Bson.Serialization.IBsonSerializerExtensions.Deserialize[TValue](IBsonSerializer`1 serializer, BsonDeserializationContext context)
   at MongoDB.Driver.Core.Operations.CursorBatchDeserializationHelper.DeserializeBatch[TDocument](RawBsonArray batch, IBsonSerializer`1 documentSerializer, MessageEncoderSettings messageEncoderSettings)
   at MongoDB.Driver.Core.Operations.FindOperation`1.CreateFirstCursorBatch(BsonDocument cursorDocument)
   at MongoDB.Driver.Core.Operations.FindOperation`1.CreateCursor(IChannelSourceHandle channelSource, IChannelHandle channel, BsonDocument commandResult)
   at MongoDB.Driver.Core.Operations.FindOperation`1.ExecuteAsync(RetryableReadContext context, CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Operations.FindOperation`1.ExecuteAsync(IReadBinding binding, CancellationToken cancellationToken)
   at MongoDB.Driver.OperationExecutor.ExecuteReadOperationAsync[TResult](IReadBinding binding, IReadOperation`1 operation, CancellationToken cancellationToken)
   at MongoDB.Driver.MongoCollectionImpl`1.ExecuteReadOperationAsync[TResult](IClientSessionHandle session, IReadOperation`1 operation, ReadPreference readPreference, CancellationToken cancellationToken)
   at MongoDB.Driver.MongoCollectionImpl`1.UsingImplicitSessionAsync[TResult](Func`2 funcAsync, CancellationToken cancellationToken)
   at MongoDB.Driver.IAsyncCursorSourceExtensions.ToListAsync[TDocument](IAsyncCursorSource`1 source, CancellationToken cancellationToken)
   at MongoDatabase.MongoDatabaseHandler`1.GetAllAsync() in /src/MongoDatabase/MongoDatabaseHandler.cs:line 108.",MongoDatabase.MongoDatabaseHandler`1,Error
2025-08-13 10:13:11.2398,Constructing FleetDataHandler,Startup,Info
2025-08-13 10:13:11.2398,Constructing FleetMessageInterpreter,Startup,Info
2025-08-13 10:13:11.2398,Constructing FleetApiHandler,Startup,Info
2025-08-13 10:13:11.2438,Constructing FleetManagerHandler,Startup,Info
2025-08-13 10:13:11.2438,Connecting to Navithor,Startup,Info
2025-08-13 10:13:11.2438,Constructing ApiSelector,Startup,Info
2025-08-13 10:13:11.2476,Attempting to connect to Navithor,Wewo.Data.DataHandlers.Navithor.FleetApiHandler,Info
2025-08-13 10:13:11.2476,Initializing AGVs,Startup,Info
2025-08-13 10:13:11.3023,Constructing InitializationStations,Startup,Info
2025-08-13 10:13:11.5396,Constructing AssignmentFactory,Startup,Info
2025-08-13 10:13:11.5396,Constructing DriveOutOfStationExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5396,Constructing ParkingLocationExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5436,Constructing ChargerExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5436,Constructing IdleExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5702,Constructing MqttService,Startup,Info
2025-08-13 10:13:11.5740,Constructing HandshakeService,Startup,Info
2025-08-13 10:13:11.5757,Constructing OrderExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5757,Constructing WaitAtStationExecutionStrategy,Startup,Info
2025-08-13 10:13:11.5757,Starting assignment loop with an interval of 500 ms,Startup,Info
2025-08-13 10:13:11.5757,Starting assignment loop,Assignment,Info
2025-08-13 10:13:11.5908,Constructing AutomationDataHandler,Startup,Info
2025-08-13 10:13:11.6028,Constructing ApiHandler,Startup,Info
2025-08-13 10:13:11.6041,Registering ICommunication[] as internal API,Startup,Info
2025-08-13 10:13:11.6041,AutomationDataHandler subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6041,NavithorZoneDataHandler subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6041,AgvIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6077,StationIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6077,ChargerIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6077,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:11.6252,Constructing ExternalApiHandler,Startup,Info
2025-08-13 10:13:11.6252,Constructing Factory,Startup,Info
2025-08-13 10:13:11.6252,Constructing FireAlarm,Startup,Info
2025-08-13 10:13:11.6280,Factory subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6402,Constructing ApiHandler,Startup,Info
2025-08-13 10:13:11.6402,Registering ICommunication[] as internal API,Startup,Info
2025-08-13 10:13:11.6402,AutomationDataHandler subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6402,NavithorZoneDataHandler subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6435,AgvIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6435,StationIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6435,ChargerIoDataAccessStrategyBridge subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6435,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:11.6496,Constructing Factory,Startup,Info
2025-08-13 10:13:11.6496,Constructing FireAlarm,Startup,Info
2025-08-13 10:13:11.6496,Factory subscribed to MqttService,Startup,Info
2025-08-13 10:13:11.6659,Constructing ActiveOrderForStationConditionHandler,Startup,Info
2025-08-13 10:13:11.6678,Constructing OrderFromOrToStationConditionHandler,Startup,Info
2025-08-13 10:13:11.6678,Constructing OrderRunningForStationConditionHandler,Startup,Info
2025-08-13 10:13:11.6678,Constructing OrderStatusForAgvBoundOrderConditionHandler,Startup,Info
2025-08-13 10:13:11.6726,Constructing OrderStatusForStationConditionHandler,Startup,Info
2025-08-13 10:13:11.6726,Constructing StationForAgvBoundOrderConditionHandler,Startup,Info
2025-08-13 10:13:11.6763,Constructing BoolEqualityConditionHandler,Startup,Info
2025-08-13 10:13:11.6763,Constructing NumericEqualityConditionHandler,Startup,Info
2025-08-13 10:13:11.6795,Constructing StringEqualityConditionHandler,Startup,Info
2025-08-13 10:13:11.6795,Connected to server,MQTT,Info
2025-08-13 10:13:11.6795,Connected to MQTT broker. Sending status 1,Startup,Info
2025-08-13 10:13:11.6795,Constructing ConditionHandlerContext,Startup,Info
2025-08-13 10:13:11.6899,Constructing LineDataHandler,Startup,Info
2025-08-13 10:13:11.6899,Subscribed to MQTT broker,MQTT,Info
2025-08-13 10:13:11.6899,Constructing LineHandler,Startup,Info
2025-08-13 10:13:11.6929,Received on mes/status: 1,MQTT,Info
2025-08-13 10:13:11.6967,"Received on agvs/1/order/status: {
  ""id"": 206,
  ""pickStation"": {
    ""id"": 260,
    ""name"": ""Handover_2_1"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 27,
    ""name"": ""Regal2_8"",
    ""position"": 2
  },
  ""status"": 13
}",MQTT,Info
2025-08-13 10:13:11.7111,"Received on agvs/1/target: 15.440,12.250,0.050,352,352,True,13",MQTT,Info
2025-08-13 10:13:11.7133,"Received on agvs/1/clamp/target: 15.440,12.250,0.050,240,500,True",MQTT,Info
2025-08-13 10:13:11.7133,Received on agvs/1/DropPositionReq: 0,MQTT,Info
2025-08-13 10:13:11.7133,Received on agvs/1/stackDetection/set: 0,MQTT,Info
2025-08-13 10:13:11.7195,Received on agvs/1/palletDetection/active: 0,MQTT,Info
2025-08-13 10:13:11.7215,Received on agvs/1/popUp: 0;                            ,MQTT,Info
2025-08-13 10:13:11.7215,Received on agvs/1/laneActionStateMES: 0,MQTT,Info
2025-08-13 10:13:11.7215,"Received on agvs/2/order/status: {
  ""id"": 205,
  ""pickStation"": {
    ""id"": 261,
    ""name"": ""Handover_1_2"",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 26,
    ""name"": ""Regal2_7"",
    ""position"": 2
  },
  ""status"": 30
}",MQTT,Info
2025-08-13 10:13:11.7241,"Received on agvs/2/target: 10.384,27.950,0.100,2115,500,False,30",MQTT,Info
2025-08-13 10:13:11.7241,"Received on agvs/2/clamp/target: 10.384,27.950,0.050,240,240,True",MQTT,Info
2025-08-13 10:13:11.7241,Received on agvs/2/stackDetection/set: 0,MQTT,Info
2025-08-13 10:13:11.7283,Received on agvs/2/palletDetection/active: 0,MQTT,Info
2025-08-13 10:13:11.7283,Received on agvs/2/laneActionStateMES: 0,MQTT,Info
2025-08-13 10:13:11.7283,Constructing UI viewmodel,Startup,Info
2025-08-13 10:13:11.7283,Received on agvs/2/popUp: 0;                            ,MQTT,Info
2025-08-13 10:13:11.7283,Received on agvs/2/DropPositionReq: 0,MQTT,Info
2025-08-13 10:13:11.7322,Received on handover/1/1/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7322,Received on handover/1/2/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7322,Received on handover/1/will: Offline,MQTT,Info
2025-08-13 10:13:11.7358,Received on handover/2/1/order: PICKING,MQTT,Info
2025-08-13 10:13:11.7358,Received on handover/2/2/order: PENDING_PICK_ORDER,MQTT,Info
2025-08-13 10:13:11.7358,Received on handover/2/will: Offline,MQTT,Info
2025-08-13 10:13:11.7358,Received on handover/4/1/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7409,Received on handover/4/2/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7409,Received on handover/4/3/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7409,Constructing StationStateController,Startup,Info
2025-08-13 10:13:11.7409,Received on handover/4/4/order: PENDING_DROP_ORDER,MQTT,Info
2025-08-13 10:13:11.7440,Starting station state controller,Wewo.Data.DataHandlers.Locations.CargoStations.StationStateController,Info
2025-08-13 10:13:11.7440,Received on handover/4/will: Offline,MQTT,Info
2025-08-13 10:13:11.7440,Received on handover/4/doorrequest: False,MQTT,Info
2025-08-13 10:13:11.7440,Received on handover/3/will: Offline,MQTT,Info
2025-08-13 10:13:11.7440,Received on handover/3/1/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7440,Received on handover/3/2/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7481,Received on handover/3/3/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7481,Received on handover/3/4/order: IDLE,MQTT,Info
2025-08-13 10:13:11.7660,Constructing AgvOrderStatusPublishLoop,Startup,Info
2025-08-13 10:13:11.8732,[REST] constructing Order controller,Startup,Info
2025-08-13 10:13:11.9959,[REST] constructing Order controller,Startup,Info
2025-08-13 10:13:12.0024,Received on handover/3/4/1/status: 0,MQTT,Info
2025-08-13 10:13:12.0038,Error while trying to read object of type Order with id 206. Message: Item of type Order with id 206 cannot be found in cache,lambda_method293,Error
2025-08-13 10:13:12.2554,Connected to Navithor at 10.200.200.44:8015,Wewo.Data.DataHandlers.Navithor.FleetApiHandler,Info
2025-08-13 10:13:12.2573,Connected to Navithor at 10.200.200.44:8015,Startup,Info
2025-08-13 10:13:12.2573,Sending ClearProductionOrders to Navithor (fresh start),Startup,Info
2025-08-13 10:13:12.3397,Received SP names and spatial info. Registering 581 symbolic points.,Wewo.Data.Navithor.FleetMessageInterpreter,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3436,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3476,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3516,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3558,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3598,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3598,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3598,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.3598,Connecting to MQTT broker,Startup,Info
2025-08-13 10:13:12.5336,Constructing AuthService,Startup,Info
2025-08-13 10:13:12.5828,Error while trying to read object of type Order with id 206. Message: Item of type Order with id 206 cannot be found in cache,lambda_method293,Error
2025-08-13 10:13:12.5870,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
