time,message,logger,level
2025-08-14 08:28:44.6645,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:44.9477,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:45.1936,[REST] constructing Order controller,Startup,Info
2025-08-14 08:28:45.3221,"Last sent target: 14.645,8.255,0.100,1325,500,False,30 Sent target: 14.645,8.255,0.050,265,265,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-14 08:28:45.3221,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:45.3266,"Received on agvs/2/clamp/target: 14.645,8.255,0.050,265,265,True",MQTT,Info
2025-08-14 08:28:45.3851,Received on agvs/2/liftHeight: 499,MQTT,Info
2025-08-14 08:28:45.5793,Received on agvs/2/liftHeight: 498,MQTT,Info
2025-08-14 08:28:45.6958,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:45.9839,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:46.1799,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:46.3739,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:46.4051,[REST] constructing Order controller,Startup,Info
2025-08-14 08:28:46.4778,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:46.4931,Received on agvs/2/liftHeight: 499,MQTT,Info
2025-08-14 08:28:46.5820,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:46.5993,Received on agvs/2/liftHeight: 498,MQTT,Info
2025-08-14 08:28:46.7759,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:46.8261,"Last sent target: 5.493,27.952,0.100,2115,500,False,30 Sent target: 5.493,27.952,0.050,214,214,True to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-14 08:28:46.8261,"Last sent target: 5.493,27.952,0.100,2115,500,False,30 Sent target: 5.493,27.952,0.100,2115,500,False,30 to AGV 1",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-14 08:28:46.8261,"Received on agvs/1/target: 5.493,27.952,0.100,2115,500,False,30",MQTT,Info
2025-08-14 08:28:46.9714,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:47.1199,Received on agvs/1/will: Online,MQTT,Info
2025-08-14 08:28:47.3313,Received on agvs/2/will: Online,MQTT,Info
2025-08-14 08:28:47.3316,"Last sent target: 14.645,8.255,0.100,1325,500,False,30 Sent target: 14.645,8.255,0.050,265,265,True to AGV 2",Wewo.Data.AGV.Types.Generic.AgvControl,Info
2025-08-14 08:28:47.4079,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:47.5200,Received on handover/3/1/1/status: 1,MQTT,Info
2025-08-14 08:28:47.6168,[REST] constructing Order controller,Startup,Info
2025-08-14 08:28:47.6168,Received on agvs/2/liftHeight: 499,MQTT,Info
2025-08-14 08:28:47.6917,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:47.7252,Received on agvs/2/liftHeight: 498,MQTT,Info
2025-08-14 08:28:47.8881,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:48.1722,Received on agvs/1/liftHeight: 498,MQTT,Info
2025-08-14 08:28:48.3698,Received on agvs/1/liftHeight: 497,MQTT,Info
2025-08-14 08:28:48.5492,Received on agvs/2/liftHeight: 499,MQTT,Info
